spat_temp_id,spat_temp_id_str,fishnet_id,temp_day_id
435,12_6,12,6
436,12_7,12,7
437,12_8,12,8
438,12_9,12,9
439,12_10,12,10
440,12_11,12,11
441,12_12,12,12
442,12_13,12,13
443,12_14,12,14
444,12_15,12,15
445,12_16,12,16
446,12_17,12,17
447,12_18,12,18
448,12_19,12,19
449,12_20,12,20
450,12_21,12,21
451,12_22,12,22
452,12_23,12,23
453,12_24,12,24
454,12_25,12,25
455,12_26,12,26
456,12_27,12,27
457,12_28,12,28
458,12_29,12,29
459,12_30,12,30
460,12_31,12,31
461,12_32,12,32
462,12_33,12,33
463,12_34,12,34
464,12_35,12,35
465,12_36,12,36
466,12_37,12,37
467,12_38,12,38
468,12_39,12,39
469,13_1,13,1
470,13_2,13,2
471,13_3,13,3
472,13_4,13,4
473,13_5,13,5
474,13_6,13,6
475,13_7,13,7
476,13_8,13,8
477,13_9,13,9
478,13_10,13,10
479,13_11,13,11
480,13_12,13,12
481,13_13,13,13
482,13_14,13,14
483,13_15,13,15
484,13_16,13,16
485,13_17,13,17
486,13_18,13,18
487,13_19,13,19
488,13_20,13,20
489,13_21,13,21
490,13_22,13,22
491,13_23,13,23
492,13_24,13,24
493,13_25,13,25
494,13_26,13,26
495,13_27,13,27
496,13_28,13,28
497,13_29,13,29
498,13_30,13,30
499,13_31,13,31
500,13_32,13,32
501,13_33,13,33
502,13_34,13,34
503,13_35,13,35
504,13_36,13,36
505,13_37,13,37
506,13_38,13,38
507,13_39,13,39
508,14_1,14,1
509,14_2,14,2
510,14_3,14,3
511,14_4,14,4
512,14_5,14,5
513,14_6,14,6
514,14_7,14,7
515,14_8,14,8
516,14_9,14,9
517,14_10,14,10
518,14_11,14,11
519,14_12,14,12
520,14_13,14,13
521,14_14,14,14
522,14_15,14,15
523,14_16,14,16
524,14_17,14,17
525,14_18,14,18
526,14_19,14,19
527,14_20,14,20
528,14_21,14,21
529,14_22,14,22
530,14_23,14,23
531,14_24,14,24
532,14_25,14,25
533,14_26,14,26
534,14_27,14,27
535,14_28,14,28
536,14_29,14,29
537,14_30,14,30
538,14_31,14,31
539,14_32,14,32
540,14_33,14,33
541,14_34,14,34
542,14_35,14,35
543,14_36,14,36
544,14_37,14,37
545,14_38,14,38
546,14_39,14,39
547,15_1,15,1
548,15_2,15,2
549,15_3,15,3
550,15_4,15,4
551,15_5,15,5
552,15_6,15,6
553,15_7,15,7
554,15_8,15,8
555,15_9,15,9
556,15_10,15,10
557,15_11,15,11
558,15_12,15,12
559,15_13,15,13
560,15_14,15,14
561,15_15,15,15
562,15_16,15,16
563,15_17,15,17
564,15_18,15,18
565,15_19,15,19
566,15_20,15,20
567,15_21,15,21
568,15_22,15,22
569,15_23,15,23
570,15_24,15,24
571,15_25,15,25
572,15_26,15,26
573,15_27,15,27
574,15_28,15,28
575,15_29,15,29
576,15_30,15,30
577,15_31,15,31
578,15_32,15,32
579,15_33,15,33
580,15_34,15,34
581,15_35,15,35
582,15_36,15,36
583,15_37,15,37
584,15_38,15,38
585,15_39,15,39
586,16_1,16,1
587,16_2,16,2
588,16_3,16,3
589,16_4,16,4
590,16_5,16,5
591,16_6,16,6
592,16_7,16,7
593,16_8,16,8
594,16_9,16,9
595,16_10,16,10
596,16_11,16,11
597,16_12,16,12
598,16_13,16,13
599,16_14,16,14
600,16_15,16,15
601,16_16,16,16
602,16_17,16,17
603,16_18,16,18
604,16_19,16,19
605,16_20,16,20
606,16_21,16,21
607,16_22,16,22
608,16_23,16,23
609,16_24,16,24
610,16_25,16,25
611,16_26,16,26
612,16_27,16,27
613,16_28,16,28
614,16_29,16,29
615,16_30,16,30
616,16_31,16,31
617,16_32,16,32
618,16_33,16,33
619,16_34,16,34
620,16_35,16,35
621,16_36,16,36
622,16_37,16,37
623,16_38,16,38
624,16_39,16,39
625,17_1,17,1
626,17_2,17,2
627,17_3,17,3
628,17_4,17,4
629,17_5,17,5
630,17_6,17,6
631,17_7,17,7
632,17_8,17,8
633,17_9,17,9
634,17_10,17,10
635,17_11,17,11
636,17_12,17,12
637,17_13,17,13
638,17_14,17,14
639,17_15,17,15
640,17_16,17,16
641,17_17,17,17
642,17_18,17,18
643,17_19,17,19
644,17_20,17,20
645,17_21,17,21
646,17_22,17,22
647,17_23,17,23
648,17_24,17,24
649,17_25,17,25
650,17_26,17,26
651,17_27,17,27
652,17_28,17,28
653,17_29,17,29
654,17_30,17,30
655,17_31,17,31
656,17_32,17,32
657,17_33,17,33
658,17_34,17,34
659,17_35,17,35
660,17_36,17,36
661,17_37,17,37
662,17_38,17,38
663,17_39,17,39
664,18_1,18,1
665,18_2,18,2
666,18_3,18,3
667,18_4,18,4
668,18_5,18,5
669,18_6,18,6
